Para. #, Sent. #, Subject, Verbs, Actual Verbs, Remaining, Ctg.#1, Ctg.#2, Ctg.#3, Ctg.#4, Ctg.#5, Ctg.#6, Ctg.#7
1, 1, I, like, like, pizza ., 0, 0, 0, 0, 0, 0, 0
1, 2, I, like, like, pizza ., 0, 0, 0, 0, 0, 0, 0
1, 3, They, spend agree even, spend, an agreeable evening ., 0, 0, 0, 0, 0, 0, 0
1, 4, I, be, be, a healthy person ., 0, 0, 0, 0, 0, 0, 0
2, 1, She, wake up brush go school, wake brush go, up her teeth and to the school ., 0, 0, 0, 0, 0, 0, 0
2, 2, I, buy book give, buy give, a book and it to her ., 0, 0, 0, 0, 0, 0, 0
2, 3, I, will call, call, will definitely you tomorrow ., 0, 0, 0, 0, 0, 0, 0
2, 4, I, have eat, eat, have a burger ., 0, 0, 0, 0, 0, 0, 0
2, 5, The cats, be feed well last, feed, were well last night ., 0, 0, 0, 0, 0, 0, 0
2, 6, The people, be expose, expose, were to cancer threat ., 0, 0, 0, 0, 0, 0, 0
